,equity
2023-04-12,79802.44381619852
2023-04-13,79802.44381619852
2023-04-14,79802.44381619852
2023-04-17,79802.44381619852
2023-04-18,79802.44381619852
2023-04-19,79802.44381619852
2023-04-20,79802.44381619852
2023-04-21,79802.44381619852
2023-04-24,79802.44381619852
2023-04-25,79802.44381619852
2023-04-26,79802.44381619852
2023-04-27,79802.44381619852
2023-04-28,79802.44381619852
2023-05-01,79802.44381619852
2023-05-02,79802.44381619852
2023-05-03,79783.65194378704
2023-05-04,79727.55325750794
2023-05-05,79493.82093981454
2023-05-08,80823.14297449225
2023-05-09,80769.17904623038
2023-05-10,82031.46341027417
2023-05-11,82183.58494547836
2023-05-12,82313.55911042688
2023-05-15,82328.36972988627
2023-05-16,82427.9236963332
2023-05-17,84112.25841647122
2023-05-18,82070.73352741926
2023-05-19,80356.0526560462
2023-05-22,79964.24317692615
2023-05-23,80070.95214622848
2023-05-24,80783.9102082308
2023-05-25,81305.64308148019
2023-05-26,81053.25016652403
2023-05-29,82073.22542809162
2023-05-30,83114.37403721918
2023-05-31,83381.26640337087
2023-06-01,84373.42168913726
2023-06-02,84726.75799464296
2023-06-05,84299.79730008554
2023-06-06,85051.89852629925
2023-06-07,85254.8579077352
2023-06-08,85355.10459860282
2023-06-09,86854.67101237563
2023-06-12,84633.35914015742
2023-06-13,83411.68906148597
2023-06-14,82415.97347348444
2023-06-15,82179.8176458125
2023-06-16,82043.27421964754
2023-06-19,80744.34037530396
2023-06-20,80427.33214767517
2023-06-21,80128.70975061491
2023-06-22,82419.53684483418
2023-06-23,83125.58919025006
2023-06-26,82981.73751445582
2023-06-27,82742.01294706999
2023-06-28,81779.92791318902
2023-06-29,80140.79311431675
2023-06-30,80130.0769442112
2023-07-03,79328.79588599264
2023-07-04,79318.26381657776
2023-07-05,78791.7517850209
2023-07-06,78557.69531733534
2023-07-07,78670.1807889923
2023-07-10,78879.8864652779
2023-07-11,79113.5004640296
2023-07-12,78571.77584530934
2023-07-13,78998.96752107164
2023-07-14,78689.10906085517
2023-07-17,79018.03234403933
2023-07-18,79060.25863812097
2023-07-19,78494.40625089261
2023-07-20,78401.06218573914
2023-07-21,78609.19184024932
2023-07-24,78928.67316656362
2023-07-25,78912.60294227363
2023-07-26,79648.84843893239
2023-07-27,80155.80924335435
